,unit_sales
2013-01-01,0.0
2013-01-02,27.0
2013-01-03,2.0
2013-01-04,0.0
2013-01-05,2.0
2013-01-06,13.0
2013-01-07,2.0
2013-01-08,1.0
2013-01-09,16.0
2013-01-10,0.0
2013-01-11,1.0
2013-01-12,7.0
2013-01-13,8.0
2013-01-14,4.0
2013-01-15,3.0
2013-01-16,19.0
2013-01-17,3.0
2013-01-18,3.0
2013-01-19,6.0
2013-01-20,8.0
2013-01-21,4.0
2013-01-22,4.0
2013-01-23,25.0
2013-01-24,4.0
2013-01-25,9.0
2013-01-26,9.0
2013-01-27,6.0
2013-01-28,7.0
2013-01-29,5.0
2013-01-30,26.0
2013-01-31,3.0
2013-02-01,3.0
2013-02-02,8.0
2013-02-03,7.0
2013-02-04,8.0
2013-02-05,4.0
2013-02-06,23.0
2013-02-07,7.0
2013-02-08,2.0
2013-02-09,8.0
2013-02-10,9.0
2013-02-11,11.0
2013-02-12,6.0
2013-02-13,8.0
2013-02-14,0.0
2013-02-15,5.0
2013-02-16,6.0
2013-02-17,8.0
2013-02-18,5.0
2013-02-19,5.0
2013-02-20,38.0
2013-02-21,0.0
2013-02-22,7.0
2013-02-23,8.0
2013-02-24,8.0
2013-02-25,6.0
2013-02-26,0.0
2013-02-27,21.0
2013-02-28,7.0
2013-03-01,4.0
2013-03-02,6.0
2013-03-03,10.0
2013-03-04,4.0
2013-03-05,5.0
2013-03-06,31.0
2013-03-07,2.0
2013-03-08,5.0
2013-03-09,9.0
2013-03-10,12.0
2013-03-11,3.0
2013-03-12,5.0
2013-03-13,27.0
2013-03-14,2.0
2013-03-15,5.0
2013-03-16,8.0
2013-03-17,10.0
2013-03-18,8.0
2013-03-19,8.0
2013-03-20,23.0
2013-03-21,8.0
2013-03-22,4.0
2013-03-23,12.0
2013-03-24,2.0
2013-03-25,1.0
2013-03-26,2.0
2013-03-27,2.0
2013-03-28,3.0
2013-03-29,0.0
2013-03-30,7.0
2013-03-31,9.0
2013-04-01,6.0
2013-04-02,5.0
2013-04-03,24.0
2013-04-04,2.0
2013-04-05,1.0
2013-04-06,6.0
2013-04-07,6.0
2013-04-08,1.0
2013-04-09,3.0
2013-04-10,32.0
2013-04-11,3.0
2013-04-12,3.0
2013-04-13,6.0
2013-04-14,14.0
2013-04-15,7.0
2013-04-16,5.0
2013-04-17,2.0
2013-04-18,7.0
2013-04-19,4.0
2013-04-20,2.0
2013-04-21,12.0
2013-04-22,2.0
2013-04-23,5.0
2013-04-24,23.0
2013-04-25,1.0
2013-04-26,3.0
2013-04-27,8.0
