,unit_sales
2013-01-01,0.0
2013-01-02,48.0
2013-01-03,34.0
2013-01-04,29.0
2013-01-05,78.0
2013-01-06,58.0
2013-01-07,40.0
2013-01-08,32.0
2013-01-09,19.0
2013-01-10,47.0
2013-01-11,32.0
2013-01-12,33.0
2013-01-13,42.0
2013-01-14,41.0
2013-01-15,44.0
2013-01-16,29.0
2013-01-17,36.0
2013-01-18,18.0
2013-01-19,34.0
2013-01-20,60.0
2013-01-21,26.0
2013-01-22,32.0
2013-01-23,26.0
2013-01-24,30.0
2013-01-25,19.0
2013-01-26,50.0
2013-01-27,47.0
2013-01-28,38.0
2013-01-29,31.0
2013-01-30,17.0
2013-01-31,22.0
2013-02-01,30.0
2013-02-02,46.0
2013-02-03,48.0
2013-02-04,63.0
2013-02-05,44.0
2013-02-06,25.0
2013-02-07,27.0
2013-02-08,25.0
2013-02-09,47.0
2013-02-10,28.0
2013-02-11,29.0
2013-02-12,19.0
2013-02-13,33.0
2013-02-14,37.0
2013-02-15,30.0
2013-02-16,47.0
2013-02-17,28.0
2013-02-18,42.0
2013-02-19,35.0
2013-02-20,27.0
2013-02-21,19.0
2013-02-22,34.0
2013-02-23,42.0
2013-02-24,44.0
2013-02-25,32.0
2013-02-26,47.0
2013-02-27,27.0
2013-02-28,29.0
2013-03-01,41.0
2013-03-02,47.0
2013-03-03,60.0
2013-03-04,34.0
2013-03-05,39.0
2013-03-06,20.0
2013-03-07,30.0
2013-03-08,23.0
2013-03-09,37.0
2013-03-10,46.0
2013-03-11,30.0
2013-03-12,26.0
2013-03-13,27.0
2013-03-14,19.0
2013-03-15,25.0
2013-03-16,35.0
2013-03-17,47.0
2013-03-18,57.0
2013-03-19,21.0
2013-03-20,39.0
2013-03-21,25.0
2013-03-22,27.0
2013-03-23,22.0
2013-03-24,60.0
2013-03-25,40.0
2013-03-26,20.0
2013-03-27,33.0
2013-03-28,37.0
2013-03-29,25.0
2013-03-30,28.0
2013-03-31,37.0
2013-04-01,49.0
2013-04-02,53.0
2013-04-03,28.0
2013-04-04,22.0
2013-04-05,25.0
2013-04-06,42.0
2013-04-07,44.0
2013-04-08,31.0
2013-04-09,28.0
2013-04-10,23.0
2013-04-11,34.0
2013-04-12,29.0
2013-04-13,39.0
2013-04-14,42.0
2013-04-15,42.0
2013-04-16,33.0
2013-04-17,26.0
2013-04-18,11.0
2013-04-19,27.0
2013-04-20,33.0
