,unit_sales
2013-01-01,0.0
2013-01-02,5.0
2013-01-03,1.0
2013-01-04,6.0
2013-01-05,7.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,1.0
2013-01-09,4.0
2013-01-10,2.0
2013-01-11,5.0
2013-01-12,11.0
2013-01-13,0.0
2013-01-14,4.0
2013-01-15,4.0
2013-01-16,4.0
2013-01-17,2.0
2013-01-18,7.0
2013-01-19,15.0
2013-01-20,0.0
2013-01-21,1.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,4.0
2013-01-26,10.0
2013-01-27,0.0
2013-01-28,2.0
2013-01-29,7.0
2013-01-30,2.0
2013-01-31,3.0
2013-02-01,18.0
2013-02-02,13.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,3.0
2013-02-06,13.0
2013-02-07,4.0
2013-02-08,8.0
2013-02-09,24.0
2013-02-10,25.0
2013-02-11,17.0
2013-02-12,24.0
2013-02-13,1.0
2013-02-14,9.0
2013-02-15,5.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,4.0
2013-02-19,5.0
2013-02-20,5.0
2013-02-21,7.0
2013-02-22,3.0
2013-02-23,38.0
2013-02-24,0.0
2013-02-25,1.0
2013-02-26,8.0
2013-02-27,1.0
2013-02-28,1.0
2013-03-01,9.0
2013-03-02,25.0
2013-03-03,0.0
2013-03-04,3.0
2013-03-05,9.0
2013-03-06,1.0
2013-03-07,2.0
2013-03-08,7.0
2013-03-09,28.0
2013-03-10,0.0
2013-03-11,3.0
2013-03-12,1.0
2013-03-13,6.0
2013-03-14,2.0
2013-03-15,5.0
2013-03-16,32.0
2013-03-17,0.0
2013-03-18,3.0
2013-03-19,0.0
2013-03-20,4.0
2013-03-21,3.0
2013-03-22,6.0
2013-03-23,37.0
2013-03-24,0.0
2013-03-25,4.0
2013-03-26,5.0
2013-03-27,6.0
2013-03-28,3.0
2013-03-29,19.0
2013-03-30,36.0
2013-03-31,0.0
2013-04-01,2.0
2013-04-02,2.0
2013-04-03,3.0
2013-04-04,0.0
2013-04-05,7.0
2013-04-06,37.0
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,5.0
2013-04-10,8.0
2013-04-11,1.0
2013-04-12,5.0
2013-04-13,26.0
2013-04-14,0.0
2013-04-15,1.0
2013-04-16,6.0
2013-04-17,4.0
2013-04-18,6.0
2013-04-19,7.0
2013-04-20,17.0
2013-04-21,0.0
2013-04-22,3.0
2013-04-23,2.0
2013-04-24,7.0
2013-04-25,1.0
2013-04-26,4.0
2013-04-27,35.0
2013-04-28,0.0
2013-04-29,2.0
2013-04-30,4.0
2013-05-01,19.0
2013-05-02,4.0
2013-05-03,11.0
2013-05-04,26.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,2.0
2013-05-08,6.0
2013-05-09,7.0
2013-05-10,8.0
2013-05-11,41.0
2013-05-12,0.0
2013-05-13,4.0
2013-05-14,1.0
2013-05-15,7.0
2013-05-16,6.0
2013-05-17,10.0
2013-05-18,43.0
2013-05-19,0.0
2013-05-20,1.0
2013-05-21,3.0
2013-05-22,2.0
2013-05-23,4.0
2013-05-24,37.0
2013-05-25,18.0
2013-05-26,0.0
2013-05-27,1.0
2013-05-28,1.0
2013-05-29,7.0
2013-05-30,3.0
2013-05-31,16.0
2013-06-01,21.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,2.0
2013-06-05,6.0
2013-06-06,9.0
2013-06-07,30.0
2013-06-08,32.0
2013-06-09,0.0
2013-06-10,3.0
2013-06-11,12.0
2013-06-12,5.0
2013-06-13,4.0
2013-06-14,7.0
2013-06-15,26.0
2013-06-16,0.0
2013-06-17,2.0
2013-06-18,0.0
2013-06-19,3.0
2013-06-20,3.0
2013-06-21,12.0
2013-06-22,22.0
2013-06-23,0.0
2013-06-24,5.0
2013-06-25,0.0
2013-06-26,3.0
2013-06-27,1.0
2013-06-28,18.0
2013-06-29,18.0
2013-06-30,0.0
2013-07-01,2.0
2013-07-02,2.0
2013-07-03,0.0
2013-07-04,6.0
2013-07-05,9.0
2013-07-06,40.0
2013-07-07,0.0
2013-07-08,2.0
2013-07-09,7.0
2013-07-10,6.0
2013-07-11,3.0
2013-07-12,12.0
2013-07-13,26.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,1.0
2013-07-17,7.0
2013-07-18,3.0
2013-07-19,6.0
2013-07-20,26.0
2013-07-21,0.0
2013-07-22,5.0
2013-07-23,5.0
2013-07-24,12.0
2013-07-25,20.0
2013-07-26,9.0
2013-07-27,55.0
2013-07-28,0.0
2013-07-29,3.0
2013-07-30,4.0
2013-07-31,2.0
2013-08-01,10.0
2013-08-02,3.0
2013-08-03,36.0
2013-08-04,0.0
2013-08-05,4.0
2013-08-06,3.0
2013-08-07,5.0
2013-08-08,2.0
2013-08-09,9.0
2013-08-10,19.0
2013-08-11,0.0
2013-08-12,3.0
2013-08-13,1.0
2013-08-14,11.0
2013-08-15,3.0
2013-08-16,13.0
2013-08-17,37.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,4.0
2013-08-22,2.0
2013-08-23,11.0
2013-08-24,27.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,5.0
2013-08-28,2.0
2013-08-29,6.0
2013-08-30,10.0
2013-08-31,21.0
2013-09-01,0.0
2013-09-02,5.0
2013-09-03,2.0
2013-09-04,6.0
2013-09-05,4.0
2013-09-06,20.0
2013-09-07,17.0
2013-09-08,0.0
2013-09-09,2.0
2013-09-10,9.0
2013-09-11,5.0
2013-09-12,1.0
2013-09-13,3.0
2013-09-14,41.0
2013-09-15,0.0
2013-09-16,2.0
2013-09-17,0.0
2013-09-18,9.0
2013-09-19,6.0
2013-09-20,15.0
2013-09-21,19.0
2013-09-22,0.0
2013-09-23,6.0
2013-09-24,3.0
2013-09-25,3.0
2013-09-26,2.0
2013-09-27,7.0
2013-09-28,24.0
2013-09-29,0.0
2013-09-30,4.0
2013-10-01,4.0
2013-10-02,12.0
2013-10-03,11.0
2013-10-04,16.0
2013-10-05,18.0
2013-10-06,0.0
2013-10-07,4.0
2013-10-08,3.0
2013-10-09,4.0
2013-10-10,18.0
2013-10-11,104.0
2013-10-12,18.0
2013-10-13,0.0
2013-10-14,6.0
2013-10-15,18.0
2013-10-16,5.0
2013-10-17,6.0
2013-10-18,14.0
2013-10-19,28.0
2013-10-20,0.0
2013-10-21,6.0
2013-10-22,5.0
2013-10-23,6.0
2013-10-24,10.0
2013-10-25,28.0
2013-10-26,54.0
2013-10-27,0.0
2013-10-28,7.0
2013-10-29,5.0
2013-10-30,6.0
2013-10-31,3.0
2013-11-01,13.0
2013-11-02,37.0
2013-11-03,0.0
2013-11-04,1.0
2013-11-05,5.0
2013-11-06,5.0
2013-11-07,13.0
2013-11-08,6.0
2013-11-09,32.0
2013-11-10,0.0
2013-11-11,1.0
2013-11-12,3.0
2013-11-13,5.0
2013-11-14,3.0
2013-11-15,21.0
2013-11-16,40.0
2013-11-17,0.0
2013-11-18,2.0
2013-11-19,4.0
2013-11-20,2.0
2013-11-21,8.0
2013-11-22,8.0
2013-11-23,14.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,1.0
2013-11-27,1.0
2013-11-28,7.0
2013-11-29,11.0
2013-11-30,28.0
2013-12-01,0.0
2013-12-02,5.0
2013-12-03,5.0
2013-12-04,7.0
2013-12-05,6.0
2013-12-06,13.0
2013-12-07,20.0
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,6.0
2013-12-11,9.0
2013-12-12,4.0
2013-12-13,8.0
2013-12-14,25.0
2013-12-15,0.0
2013-12-16,3.0
