,unit_sales
2013-01-01,0.0
2013-01-02,63.0
2013-01-03,34.0
2013-01-04,37.0
2013-01-05,39.0
2013-01-06,66.0
2013-01-07,36.0
2013-01-08,38.0
2013-01-09,47.0
2013-01-10,33.0
2013-01-11,23.0
2013-01-12,48.0
2013-01-13,73.0
2013-01-14,49.0
2013-01-15,32.0
2013-01-16,52.0
2013-01-17,35.0
2013-01-18,24.0
2013-01-19,42.0
2013-01-20,85.0
2013-01-21,54.0
2013-01-22,36.0
2013-01-23,34.0
2013-01-24,21.0
2013-01-25,24.0
2013-01-26,39.0
2013-01-27,86.0
2013-01-28,35.0
2013-01-29,29.0
2013-01-30,35.0
2013-01-31,27.0
2013-02-01,35.0
2013-02-02,57.0
2013-02-03,64.0
2013-02-04,50.0
2013-02-05,25.0
2013-02-06,33.0
2013-02-07,24.0
2013-02-08,15.0
2013-02-09,49.0
2013-02-10,31.0
2013-02-11,46.0
2013-02-12,49.0
2013-02-13,48.0
2013-02-14,26.0
2013-02-15,31.0
2013-02-16,69.0
2013-02-17,63.0
2013-02-18,62.0
2013-02-19,30.0
2013-02-20,44.0
2013-02-21,24.0
2013-02-22,24.0
2013-02-23,60.0
2013-02-24,67.0
2013-02-25,46.0
2013-02-26,29.0
2013-02-27,47.0
2013-02-28,45.0
2013-03-01,40.0
2013-03-02,47.0
2013-03-03,81.0
2013-03-04,43.0
2013-03-05,50.0
2013-03-06,37.0
2013-03-07,41.0
2013-03-08,18.0
2013-03-09,66.0
2013-03-10,59.0
2013-03-11,31.0
2013-03-12,26.0
2013-03-13,34.0
2013-03-14,13.0
2013-03-15,30.0
2013-03-16,70.0
2013-03-17,97.0
2013-03-18,41.0
2013-03-19,34.0
2013-03-20,43.0
2013-03-21,34.0
2013-03-22,29.0
2013-03-23,53.0
2013-03-24,69.0
2013-03-25,44.0
2013-03-26,35.0
2013-03-27,32.0
2013-03-28,40.0
2013-03-29,44.0
2013-03-30,44.0
2013-03-31,68.0
2013-04-01,63.0
2013-04-02,39.0
2013-04-03,53.0
2013-04-04,28.0
2013-04-05,31.0
2013-04-06,52.0
2013-04-07,80.0
2013-04-08,48.0
2013-04-09,35.0
2013-04-10,44.0
2013-04-11,26.0
2013-04-12,30.0
2013-04-13,43.0
2013-04-14,63.0
2013-04-15,43.0
2013-04-16,45.0
2013-04-17,58.0
2013-04-18,35.0
2013-04-19,41.0
2013-04-20,48.0
2013-04-21,79.0
2013-04-22,44.0
2013-04-23,38.0
2013-04-24,51.0
2013-04-25,23.0
2013-04-26,28.0
2013-04-27,57.0
2013-04-28,75.0
2013-04-29,31.0
2013-04-30,32.0
2013-05-01,85.0
2013-05-02,34.0
2013-05-03,40.0
2013-05-04,39.0
2013-05-05,88.0
2013-05-06,66.0
2013-05-07,39.0
2013-05-08,42.0
2013-05-09,27.0
2013-05-10,22.0
2013-05-11,66.0
2013-05-12,61.0
2013-05-13,44.0
2013-05-14,41.0
2013-05-15,40.0
2013-05-16,29.0
2013-05-17,39.0
2013-05-18,49.0
2013-05-19,82.0
2013-05-20,48.0
2013-05-21,42.0
2013-05-22,40.0
2013-05-23,23.0
2013-05-24,55.0
2013-05-25,47.0
2013-05-26,61.0
2013-05-27,44.0
2013-05-28,38.0
2013-05-29,48.0
2013-05-30,27.0
2013-05-31,31.0
2013-06-01,50.0
2013-06-02,112.0
2013-06-03,58.0
2013-06-04,52.0
2013-06-05,43.0
2013-06-06,52.0
2013-06-07,37.0
2013-06-08,74.0
2013-06-09,79.0
2013-06-10,73.0
2013-06-11,48.0
2013-06-12,48.0
2013-06-13,42.0
2013-06-14,34.0
